Sightings
94
20
85
101
417
127
18
5
302
126
0
96
237
79
56
45
114
41
17
34
29
216
72
21
158
51
15
7
14
66
42
111
89
4
303
97
249
115
5
41
13
96
230
58
10
79
601
103
85
27
